brand,model,prod_year,mileage,engine_capacity,fuel_type,power,gearbox,body_type,doors,seats,color,condition,price
Audi,Q7,2023,1 km,2 967 cm3,Diesel,286 KM,Automatyczna,SUV,5.0,5.0,Czarny,Nowe,319 855        PLN
Audi,Q3,2022,3 000 km,1 498 cm3,Benzyna,150 KM,Automatyczna,SUV,5.0,5.0,Czarny,Nowe,164 900        PLN
Audi,Q3,2023,1 km,1 498 cm3,Benzyna,150 KM,Automatyczna,SUV,5.0,5.0,Czarny,Nowe,166 232        PLN
Audi,S8,2013,152 000 km,3 993 cm3,Benzyna,520 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,149 000        PLN
Audi,Q4,2023,5 km,,Elektryczny,204 KM,Automatyczna,SUV,5.0,5.0,Biały,Nowe,306 400        PLN
Audi,TT,2022,5 km,1 984 cm3,Benzyna,320 KM,Automatyczna,Coupe,2.0,4.0,Biały,Nowe,282 500        PLN
Audi,Q5,2011,214 000 km,1 968 cm3,Diesel,170 KM,Manualna,SUV,5.0,5.0,Biały,Używane,60 999        PLN
Audi,Q7,2022,19 459 km,2 967 cm3,Diesel,231 KM,Automatyczna,SUV,5.0,5.0,Biały,Używane,272 000        PLN
Audi,A4,2001,225 000 km,1 595 cm3,Benzyna,102 KM,Manualna,Sedan,4.0,5.0,Bordowy,Używane,14 500        PLN
Audi,A7,2023,1 km,1 984 cm3,Benzyna,265 KM,Automatyczna,Sedan,5.0,5.0,Czarny,Nowe,301 700        PLN
Audi,Q3,2023,1 km,1 498 cm3,Diesel,150 KM,Automatyczna,SUV,5.0,5.0,Biały,Nowe,161 000        PLN
Audi,Q4,2022,1 km,,Elektryczny,204 KM,Automatyczna,SUV,5.0,5.0,Szary,Nowe,276 300        PLN
Audi,Q4,2022,1 km,,Elektryczny,170 KM,Automatyczna,SUV,5.0,5.0,Szary,Nowe,237 700        PLN
Audi,Q3,2022,1 km,1 968 cm3,Diesel,150 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Nowe,220 300        PLN
Audi,A4,2010,249 800 km,1 798 cm3,Benzyna,160 KM,Manualna,Kombi,4.0,5.0,Czerwony,Używane,29 900        PLN
Audi,A4,2007,283 000 km,1 968 cm3,Diesel,170 KM,Manualna,Kombi,5.0,5.0,Inny kolor,Używane,23 900        PLN
Audi,RS6,2022,15 km,3 996 cm3,Benzyna,600 KM,Automatyczna,Kombi,5.0,5.0,Szary,Używane,679 900        PLN
Audi,RS Q3,2023,5 km,2 480 cm3,Benzyna,400 KM,Automatyczna,SUV,5.0,5.0,Czerwony,Nowe,341 000        PLN
Audi,SQ5,2015,143 600 km,2 967 cm3,Diesel,313 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Używane,127 000        PLN
Audi,A3,2022,5 000 km,1 489 cm3,Diesel,150 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,189 900        PLN
Audi,Q5,2022,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Nowe,264 700        PLN
Audi,A4,2014,206 217 km,1 968 cm3,Diesel,150 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,51 700        PLN
Audi,A3,2013,197 000 km,1 798 cm3,Benzyna,180 KM,Automatyczna,Sedan,4.0,5.0,Srebrny,Używane,69 900        PLN
Audi,Q7,2017,138 000 km,2 967 cm3,Diesel,272 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Używane,208 500        PLN
Audi,A4,2012,253 000 km,1 968 cm3,Diesel,136 KM,Manualna,Kombi,5.0,5.0,Biały,Używane,38 000        PLN
Audi,A6,2023,1 km,1 968 cm3,Diesel,163 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Nowe,213 500        PLN
Audi,A4,2022,4 300 km,1 968 cm3,Diesel,163 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,139 500        PLN
Audi,A3,2005,257 000 km,1 598 cm3,Benzyna,115 KM,Manualna,Kompakt,5.0,5.0,Srebrny,Używane,17 900        PLN
Audi,A4,2008,246 000 km,1 968 cm3,Diesel,170 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,22 900        PLN
Audi,A4,2010,202 000 km,1 968 cm3,Diesel,143 KM,Manualna,Sedan,4.0,5.0,Czarny,Używane,34 900        PLN
Audi,A5,2018,124 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Coupe,5.0,4.0,Szary,Używane,160 500        PLN
Audi,S3,2023,5 km,1 984 cm3,Benzyna,310 KM,Automatyczna,Sedan,4.0,5.0,Złoty,Nowe,220 783        PLN
Audi,S3,2023,5 km,1 984 cm3,Benzyna,310 KM,Automatyczna,Sedan,4.0,5.0,Złoty,Nowe,220 783        PLN
Audi,A4,2022,14 000 km,1 984 cm3,Benzyna,204 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,185 000        PLN
Audi,A6,2009,275 000 km,2 967 cm3,Diesel,240 KM,Manualna,Kombi,5.0,,Inny kolor,Używane,43 900        PLN
Audi,A8,2019,89 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,246 500        PLN
Audi,A8,2019,28 000 km,2 995 cm3,Hybryda,340 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,434 400        PLN
Audi,A4,2006,236 365 km,1 968 cm3,Diesel,140 KM,Automatyczna,Kombi,5.0,5.0,Inny kolor,Używane,19 400        PLN
Audi,A3,2010,149 000 km,1 390 cm3,Benzyna,125 KM,Manualna,Kompakt,5.0,5.0,Inny kolor,Używane,32 000        PLN
Audi,A4,2008,178 849 km,1 968 cm3,Diesel,143 KM,Manualna,Kombi,5.0,5.0,Srebrny,Używane,37 999        PLN
Audi,Q5,2009,299 000 km,2 967 cm3,Diesel,240 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,53 500        PLN
Audi,A4,2019,33 000 km,1 984 cm3,Benzyna,150 KM,Automatyczna,Kombi,5.0,5.0,Szary,Używane,152 520        PLN
Audi,A6,2014,172 400 km,1 968 cm3,Diesel,190 KM,Automatyczna,Kombi,5.0,5.0,Niebieski,Używane,84 999        PLN
Audi,S5,2012,150 000 km,2 995 cm3,Benzyna,333 KM,Automatyczna,Coupe,3.0,4.0,Czarny,Używane,77 000        PLN
Audi,A4,2008,101 028 km,1 798 cm3,Benzyna,160 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,29 900        PLN
Audi,Q7,2018,117 000 km,2 967 cm3,Diesel,272 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,235 000        PLN
Audi,A6,2017,244 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,89 999        PLN
Audi,A5,2014,290 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Coupe,5.0,5.0,Biały,Używane,69 999        PLN
Audi,A5,2021,9 500 km,1 984 cm3,Benzyna,265 KM,Automatyczna,Coupe,5.0,5.0,Szary,Używane,234 900        PLN
Audi,A6,2019,183 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,Kombi,5.0,5.0,Biały,Używane,155 000        PLN
Audi,Q5,2023,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Nowe,245 300        PLN
Audi,A6,2018,196 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,159 777        PLN
Audi,A4,2020,179 600 km,1 968 cm3,Diesel,190 KM,Automatyczna,Kombi,5.0,5.0,Szary,Używane,125 900        PLN
Audi,Q5,2022,1 km,1 968 cm3,Diesel,204 KM,Automatyczna,SUV,5.0,5.0,Czarny,Nowe,254 600        PLN
Audi,A4,2009,403 347 km,1 968 cm3,Diesel,143 KM,Manualna,Kombi,5.0,5.0,Szary,Używane,24 500        PLN
Audi,A8,2022,3 000 km,2 995 cm3,Hybryda,462 KM,Automatyczna,Sedan,5.0,5.0,Czarny,Nowe,610 000        PLN
Audi,Q5,2018,52 910 km,1 984 cm3,Benzyna,252 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,139 900        PLN
Audi,Q5,2018,117 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,SUV,5.0,5.0,Inny kolor,Używane,154 900        PLN
Audi,Q5,2018,80 000 km,1 984 cm3,Benzyna,252 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,119 500        PLN
Audi,A6,2020,131 100 km,2 967 cm3,Diesel,286 KM,Automatyczna,Kombi,5.0,5.0,Biały,Używane,209 900        PLN
Audi,A6,2021,26 594 km,1 984 cm3,Benzyna,265 KM,Automatyczna,Kombi,5.0,5.0,Czerwony,Używane,269 900        PLN
Audi,A7,2021,11 644 km,1 968 cm3,Diesel,204 KM,Automatyczna,Sedan,5.0,4.0,Zielony,Używane,289 900        PLN
Audi,A3,2009,217 000 km,1 598 cm3,Diesel,105 KM,Manualna,Kompakt,5.0,5.0,Czarny,Używane,28 999        PLN
Audi,Q5,2013,174 535 km,1 984 cm3,Benzyna,224 KM,Automatyczna,SUV,5.0,5.0,Srebrny,Używane,69 000        PLN
Audi,Q7,2023,5 km,2 967 cm3,Diesel,231 KM,Automatyczna,SUV,5.0,5.0,Niebieski,Nowe,325 900        PLN
Audi,A8,2011,348 000 km,4 134 cm3,Diesel,350 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,103 320        PLN
Audi,S4,2021,16 969 km,2 967 cm3,Diesel,341 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,289 900        PLN
Audi,Q7,2023,1 km,2 967 cm3,Diesel,286 KM,Automatyczna,SUV,5.0,7.0,Biały,Nowe,323 617        PLN
Audi,A4,2014,212 000 km,1 968 cm3,Diesel,150 KM,Manualna,Kombi,5.0,5.0,Szary,Używane,59 900        PLN
Audi,SQ5,2018,94 729 km,2 995 cm3,Benzyna,354 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,179 900        PLN
Audi,A4,2011,221 952 km,1 968 cm3,Diesel,136 KM,Manualna,Kombi,5.0,5.0,Czarny,Używane,34 900        PLN
Audi,RS7,2017,62 000 km,3 993 cm3,Benzyna,605 KM,Automatyczna,Sedan,5.0,4.0,Niebieski,Używane,285 000        PLN
Audi,A6,2007,250 000 km,2 698 cm3,Diesel,180 KM,Automatyczna,Kombi,5.0,5.0,Inny kolor,Używane,23 900        PLN
Audi,A6,2013,234 304 km,2 967 cm3,Diesel,245 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,75 000        PLN
Audi,Q5,2019,87 900 km,1 984 cm3,Benzyna,245 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,149 900        PLN
Audi,Q5,2012,185 000 km,1 968 cm3,Diesel,170 KM,Manualna,SUV,5.0,5.0,Czarny,Używane,74 900        PLN
Audi,A4,2012,247 000 km,1 968 cm3,Diesel,143 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,51 900        PLN
Audi,A6,2006,325 000 km,3 123 cm3,Benzyna,255 KM,Manualna,Kombi,5.0,5.0,Zielony,Używane,20 900        PLN
Audi,A5,2011,201 500 km,1 984 cm3,Benzyna,252 KM,Manualna,Coupe,2.0,5.0,Inny kolor,Używane,39 999        PLN
Audi,Q5,2009,268 965 km,1 968 cm3,Diesel,170 KM,Manualna,SUV,5.0,,Biały,Używane,51 900        PLN
Audi,Q5,2019,98 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,SUV,5.0,5.0,Czarny,Używane,174 900        PLN
Audi,RS7,2021,55 500 km,3 996 cm3,Benzyna,600 KM,Automatyczna,Sedan,5.0,5.0,Granatowy,Używane,559 900        PLN
Audi,SQ5,2017,126 000 km,2 995 cm3,Benzyna,354 KM,Automatyczna,SUV,5.0,5.0,Szary,Używane,199 260        PLN
Audi,A6,2018,166 000 km,2 967 cm3,Diesel,286 KM,Automatyczna,Sedan,4.0,5.0,Czarny,Używane,172 200        PLN
Audi,A4,1996,387 826 km,1 781 cm3,Benzyna+LPG,125 KM,Manualna,Kombi,5.0,5.0,Granatowy,Używane,3 900        PLN
Audi,A6,2012,149 000 km,2 995 cm3,Benzyna,310 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,59 900        PLN
Audi,Q3,2016,136 000 km,1 395 cm3,Benzyna,150 KM,Automatyczna,Kompakt,5.0,5.0,Biały,Używane,84 900        PLN
Audi,A3,2009,245 000 km,1 896 cm3,Diesel,105 KM,Manualna,Kompakt,3.0,5.0,Granatowy,Używane,27 000        PLN
Audi,Q5,2012,173 000 km,1 968 cm3,Diesel,170 KM,Automatyczna,SUV,5.0,5.0,Szary,Używane,65 700        PLN
Audi,A4,2003,316 994 km,1 984 cm3,Benzyna+LPG,130 KM,Automatyczna,Kombi,5.0,5.0,Czarny,Używane,5 000        PLN
Audi,A4,2011,91 500 km,1 984 cm3,Benzyna,211 KM,Automatyczna,Sedan,4.0,5.0,Szary,Używane,52 500        PLN
Audi,A5,2022,5 000 km,1 984 cm3,Benzyna,204 KM,Automatyczna,Kompakt,5.0,5.0,Niebieski,Używane,259 900        PLN
Audi,A6,2014,216 000 km,1 968 cm3,Diesel,190 KM,Automatyczna,Kombi,5.0,5.0,Srebrny,Używane,67 500        PLN
